chr1	248956422
chr2	242193529
chr3	198295559
chr4	190214555
chr5	181538259
chr6	170805979
chr7	159345973
chr8	145138636
chr9	138394717
chr10	133797422
chr11	135086622
chr12	133275309
chr13	114364328
chr14	107043718
chr15	101991189
chr16	90338345
chr17	83257441
chr18	80373285
chr19	58617616
chr20	64444167
chr21	46709983
chr22	50818468
chrX	156040895
chrY	57227415
chrM	16569
chr1_KI270706v1_random	175055
chr1_KI270707v1_random	32032
chr1_KI270708v1_random	127682
chr1_KI270709v1_random	66860
chr1_KI270710v1_random	40176
chr1_KI270711v1_random	42210
chr1_KI270712v1_random	176043
chr1_KI270713v1_random	40745
chr1_KI270714v1_random	41717
chr2_KI270715v1_random	161471
chr2_KI270716v1_random	153799
chr3_GL000221v1_random	155397
chr4_GL000008v2_random	209709
chr5_GL000208v1_random	92689
chr9_KI270717v1_random	40062
chr9_KI270718v1_random	38054
chr9_KI270719v1_random	176845
chr9_KI270720v1_random	39050
chr11_KI270721v1_random	100316
chr14_GL000009v2_random	201709
chr14_GL000225v1_random	211173
chr14_KI270722v1_random	194050
chr14_GL000194v1_random	191469
chr14_KI270723v1_random	38115
chr14_KI270724v1_random	39555
chr14_KI270725v1_random	172810
chr14_KI270726v1_random	43739
chr15_KI270727v1_random	448248
chr16_KI270728v1_random	1872759
chr17_GL000205v2_random	185591
chr17_KI270729v1_random	280839
chr17_KI270730v1_random	112551
chr22_KI270731v1_random	150754
chr22_KI270732v1_random	41543
chr22_KI270733v1_random	179772
chr22_KI270734v1_random	165050
chr22_KI270735v1_random	42811
chr22_KI270736v1_random	181920
chr22_KI270737v1_random	103838
chr22_KI270738v1_random	99375
chr22_KI270739v1_random	73985
chrY_KI270740v1_random	37240
chrUn_KI270302v1	2274
chrUn_KI270304v1	2165
chrUn_KI270303v1	1942
chrUn_KI270305v1	1472
chrUn_KI270322v1	21476
chrUn_KI270320v1	4416
chrUn_KI270310v1	1201
chrUn_KI270316v1	1444
chrUn_KI270315v1	2276
chrUn_KI270312v1	998
chrUn_KI270311v1	12399
chrUn_KI270317v1	37690
chrUn_KI270412v1	1179
chrUn_KI270411v1	2646
chrUn_KI270414v1	2489
chrUn_KI270419v1	1029
chrUn_KI270418v1	2145
chrUn_KI270420v1	2321
chrUn_KI270424v1	2140
chrUn_KI270417v1	2043
chrUn_KI270422v1	1445
chrUn_KI270423v1	981
chrUn_KI270425v1	1884
chrUn_KI270429v1	1361
chrUn_KI270442v1	392061
chrUn_KI270466v1	1233
chrUn_KI270465v1	1774
chrUn_KI270467v1	3920
chrUn_KI270435v1	92983
chrUn_KI270438v1	112505
chrUn_KI270468v1	4055
chrUn_KI270510v1	2415
chrUn_KI270509v1	2318
chrUn_KI270518v1	2186
chrUn_KI270508v1	1951
chrUn_KI270516v1	1300
chrUn_KI270512v1	22689
chrUn_KI270519v1	138126
chrUn_KI270522v1	5674
chrUn_KI270511v1	8127
chrUn_KI270515v1	6361
chrUn_KI270507v1	5353
chrUn_KI270517v1	3253
chrUn_KI270529v1	1899
chrUn_KI270528v1	2983
chrUn_KI270530v1	2168
chrUn_KI270539v1	993
chrUn_KI270538v1	91309
chrUn_KI270544v1	1202
chrUn_KI270548v1	1599
chrUn_KI270583v1	1400
chrUn_KI270587v1	2969
chrUn_KI270580v1	1553
chrUn_KI270581v1	7046
chrUn_KI270579v1	31033
chrUn_KI270589v1	44474
chrUn_KI270590v1	4685
chrUn_KI270584v1	4513
chrUn_KI270582v1	6504
chrUn_KI270588v1	6158
chrUn_KI270593v1	3041
chrUn_KI270591v1	5796
chrUn_KI270330v1	1652
chrUn_KI270329v1	1040
chrUn_KI270334v1	1368
chrUn_KI270333v1	2699
chrUn_KI270335v1	1048
chrUn_KI270338v1	1428
chrUn_KI270340v1	1428
chrUn_KI270336v1	1026
chrUn_KI270337v1	1121
chrUn_KI270363v1	1803
chrUn_KI270364v1	2855
chrUn_KI270362v1	3530
chrUn_KI270366v1	8320
chrUn_KI270378v1	1048
chrUn_KI270379v1	1045
chrUn_KI270389v1	1298
chrUn_KI270390v1	2387
chrUn_KI270387v1	1537
chrUn_KI270395v1	1143
chrUn_KI270396v1	1880
chrUn_KI270388v1	1216
chrUn_KI270394v1	970
chrUn_KI270386v1	1788
chrUn_KI270391v1	1484
chrUn_KI270383v1	1750
chrUn_KI270393v1	1308
chrUn_KI270384v1	1658
chrUn_KI270392v1	971
chrUn_KI270381v1	1930
chrUn_KI270385v1	990
chrUn_KI270382v1	4215
chrUn_KI270376v1	1136
chrUn_KI270374v1	2656
chrUn_KI270372v1	1650
chrUn_KI270373v1	1451
chrUn_KI270375v1	2378
chrUn_KI270371v1	2805
chrUn_KI270448v1	7992
chrUn_KI270521v1	7642
chrUn_GL000195v1	182896
chrUn_GL000219v1	179198
chrUn_GL000220v1	161802
chrUn_GL000224v1	179693
chrUn_KI270741v1	157432
chrUn_GL000226v1	15008
chrUn_GL000213v1	164239
chrUn_KI270743v1	210658
chrUn_KI270744v1	168472
chrUn_KI270745v1	41891
chrUn_KI270746v1	66486
chrUn_KI270747v1	198735
chrUn_KI270748v1	93321
chrUn_KI270749v1	158759
chrUn_KI270750v1	148850
chrUn_KI270751v1	150742
chrUn_KI270752v1	27745
chrUn_KI270753v1	62944
chrUn_KI270754v1	40191
chrUn_KI270755v1	36723
chrUn_KI270756v1	79590
chrUn_KI270757v1	71251
chrUn_GL000214v1	137718
chrUn_KI270742v1	186739
chrUn_GL000216v2	176608
chrUn_GL000218v1	161147
chrEBV	171823
